Rank,Player,Nationality,Number_of_Assists
1,Ryan Giggs, Wales,162
2,Cesc Fàbregas, Spain,111
3,Wayne Rooney, England,103
4,Frank Lampard, England,102
5,Dennis Bergkamp, Netherlands,94
6,Steven Gerrard, England,92
7,David Silva, Spain,90
8,James Milner, England,84
9,David Beckham, England,80
10,Teddy Sheringham, England,76
11,Thierry Henry, France,74
12,Andrew Cole, England,73
13,Ashley Young, England,69
14,Darren Anderton, England,68
15,Gareth Barry, England,64
15,Matthew Le Tissier, England,64
15,Alan Shearer, England,64
18,Kevin De Bruyne, Belgium,62
18,Christian Eriksen, Denmark,62
18,Nolberto Solano, Peru,62
21,Stewart Downing, England,59
21,Steve McManaman, England,59
23,Peter Crouch, England,58
23,Jimmy Floyd Hasselbaink, Netherlands,58
25,Eric Cantona, France,56
26,Kevin Davies, England,55
26,Damien Duff, Ireland,55
26,Steed Malbranque, France,55
26,Danny Murphy, England,55
26,Paul Scholes, England,55
31,Didier Drogba, Cote D'Ivoire,54
31,Eden Hazard, Belgium,54
31,Mesut Özil, Germany,54
34,Leighton Baines, England,53
34,Emile Heskey, England,53
34,Robin van Persie, Netherlands,53
37,Juan Mata, Spain,52
38,Nick Barmby, England,50
38,Aaron Lennon, England,50
38,Theo Walcott, England,50
38,Dwight Yorke, Trinidad And Tobago,50
42,Chris Brunt, Northern Ireland,49
42,Paolo Di Canio, Italy,49
42,Les Ferdinand, England,49
45,Nicolas Anelka, France,48
46,Gary McAllister, Scotland,47
47,Sergio Agüero, Argentina,46
47,Jordan Henderson, England,46
47,Aaron Ramsey, Wales,46
47,Luis Antonio Valencia, Ecuador,46
51,Stuart Ripley, England,45
51,Trevor Sinclair, England,45
51,Jason Wilcox, England,45
54,Ruel Fox, Montserrat,44
54,Graeme Le Saux, England,44
54,Gylfi Sigurdsson, Iceland,44
54,Gary Speed, Wales,44
54,Raheem Sterling, England,44
59,Nani, Portugal,43
59,Paul Merson, England,43
61,Mikel Arteta, Spain,42
61,David Ginola, France,42
61,Gianfranco Zola, Italy,42
64,Eyal Berkovic, Israel,41
64,Brian Deane, England,41
64,Robert Pires, France,41
64,Chris Sutton, England,41
68,Dimitar Berbatov, Bulgaria,40
68,Michael Carrick, England,40
68,Dion Dublin, England,40
68,Samir Nasri, France,40
68,Jermaine Pennant, England,40
73,Robbie Fowler, England,39
73,Morten Gamst Pedersen, Norway,39
73,Riyad Mahrez, Algeria,39
73,Dennis Wise, England,39
77,Lee Bowyer, England,38
77,Harry Kewell, Australia,38
79,Marc Albrighton, England,37
79,James Beattie, England,37
79,Robbie Keane, Ireland,37
79,Niall Quinn, Ireland,37
79,Ole Gunnar Solskjaer, Norway,37
84,Emmanuel Adebayor, Togo,36
84,Kevin Campbell, England,36
84,Joe Cole, England,36
84,Matthew Etherington, England,36
84,Ian Harte, Ireland,36
84,Andy Hinchcliffe, England,36
84,Charles N'Zogbia, France,36
84,Carlos Tevez, Argentina,36
92,Luís Boa Morte, Portugal,35
92,Benito Carbone, Italy,35
92,Santi Cazorla, Spain,35
92,Philippe Coutinho, Brazil,35
92,Simon Davies, Wales,35
92,Romelu Lukaku, Belgium,35
92,Gary Neville, England,35
92,Shaun Wright-Phillips, England,35
100,Gabriel Agbonlahor, England,34
100,Roberto Firmino, Brazil,34
100,Joey Barton, England,34
100,Cristiano Ronaldo, Portugal,34
100,Steve Guppy, England,34
100,Steve Stone, England,34
100,Graham Stuart, England,34
100,Patrick Vieira, France,34
100,Bobby Zamora, England,34
109,Dele Alli, England,33
109,Marko Arnautovic, Austria,33
109,Peter Beardsley, England,33
109,Jermain Defoe, England,33
109,Mark Hughes, Wales,33
109,Roy Keane, Ireland,33
109,James Morrison, Scotland,33
109,Mark Noble, England,33
109,Dan Petrescu, Romania,33
118,Robert Lee, England,32
118,Steven Pienaar, South Africa,32
118,Laurent Robert, France,32
118,Yaya Touré, Cote D'Ivoire,32
122,Craig Bellamy, Wales,31
122,Patrik Berger, Czech Republic,31
122,Willian, Brazil,31
122,Ashley Cole, England,31
122,Gary Kelly, Ireland,31
122,Michael Owen, England,31
122,Alexis Sánchez, Chile,31
122,Alan Smith, England,31
130,Brett Emerton, Australia,30
130,Adam Johnson, England,30
130,John Arne Riise, Norway,30
130,Andy Townsend, Ireland,30
134,John Barnes, England,29
134,Stan Collymore, England,29
134,Paul Ince, England,29
134,Kanu, Nigeria,29
134,Fredrik Ljungberg, Sweden,29
134,Sadio Mané, Senegal,29
134,Wayne Routledge, England,29
134,Fernando Torres, Spain,29
142,César Azpilicueta, Spain,28
142,Kieron Dyer, England,28
142,Olivier Giroud, France,28
142,Eidur Gudjohnsen, Iceland,28
142,Stephen Ireland, Ireland,28
142,Glen Johnson, England,28
142,Adam Lallana, England,28
142,Mark Pembridge, Wales,28
142,Leroy Sané, Germany,28
142,Tim Sherwood, England,28
142,Steve Staunton, Ireland,28
142,Jamie Vardy, England,28
142,Mark Viduka, Australia,28
155,Darren Fletcher, Scotland,27
155,Don Hutchison, Scotland,27
155,Muzzy Izzet, Turkey,27
155,Dirk Kuyt, Netherlands,27
155,Leon Osman, England,27
155,Andrew Robertson, Scotland,27
